slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning,行号,分类,缺失字段,建议关注缺项,无需强补的独立字段,补全必要性,补全方式,当前查询证据_固定来源,候选来源与值_非已应用,候选可补字段,候选与已有字段差异_非最终合并,已有值风险,部署时输出字段失去,部署时id存在性变化,验证边界
kimi-coding/kimi-k2.5,Kimi K2.5,"[""text"",""image""]",未知,262144,未知,32768,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",low,101,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
kimi-coding/kimi-k2.6,Kimi K2.6,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",low,102,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
kimi-coding/kimi-k2.7-code,Kimi K2.7 Code,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",low,103,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
kimi-coding/kimi-k2.7-code-highspeed,Kimi K2.7 Code HighSpeed,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",low,104,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
kimi-coding/kimi-k3,Kimi K3,"[""text"",""image""]",未知,1048576,未知,65536,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",low,105,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
kimi-coding/kimi-k3-256k,Kimi K3 256K,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",low,106,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
nim/deepseek-ai/deepseek-v4-flash-0731,deepseek-ai/deepseek-v4-flash-0731,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,107,NIM需渠道映射加逐模型完整ID绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补；保留既有NVIDIA来源，但需同时处理provider和完整ID。,渠道provider_prefix_map将deepseek-ai映射为nvidia；本模型lookup_ids[models.dev/nvidia]=deepseek-ai/deepseek-v4-flash-0731。仅映射provider仍会丢查询中的厂商路径。,models.dev/deepseek-ai id=deepseek-v4-flash-0731 miss,"models.dev/nvidia / deepseek-ai/deepseek-v4-flash-0731 => {""context_window"":1000000,""input_modalities"":[""text""],""max_output_tokens"":384000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""high""},{""effort"":""max""}]}","{""max_output_tokens"":384000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1000000,""current"":272000},""input_modalities"":{""candidate"":[""text""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""high""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
nim/minimaxai/minimax-m3,minimaxai/minimax-m3,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,108,NIM需渠道映射加逐模型完整ID绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补；保留既有NVIDIA来源，但需同时处理provider和完整ID。,渠道provider_prefix_map将minimaxai映射为nvidia；本模型lookup_ids[models.dev/nvidia]=minimaxai/minimax-m3。仅映射provider仍会丢查询中的厂商路径。,models.dev/minimaxai id=minimax-m3 miss,"models.dev/nvidia / minimaxai/minimax-m3 => {""context_window"":1000000,""input_modalities"":[""text"",""image"",""video""],""max_output_tokens"":16384,""output_modalities"":[""text""]}","{""max_output_tokens"":16384,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1000000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""video""],""current"":[""text"",""image""]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
nim/moonshotai/kimi-k3,Kimi K3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}]",medium,109,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/moonshotai id=kimi-k3 hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},default_reasoning=medium不在reasoning_levels中；非缺字段，另行核对，不自动改值,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
ollama-cloud/deepseek-v4-flash:0731,DeepSeek V4 Flash 0731,"[""text""]","[""text""]",1048576,未知,未知,未知,1048576,"[{""effort"":""high""},{""effort"":""max""}]",medium,110,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"ollama_cloud id=deepseek-v4-flash:0731 native input not in bulk fixture; models.dev/ id=deepseek-v4-flash:0731 hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},default_reasoning=medium不在reasoning_levels中；非缺字段，另行核对，不自动改值,否,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/deepseek-v4-pro:0813,deepseek-v4-pro:0813,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,111,准确型号未找到，暂留未知,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,输出/模态有补全价值，但准确型号证据不足，暂留未知。,逐项核对准确型号/供应方资料；不删日期、:tag、-fast、-free、-paid、-high或猜替代版本。没有记录时加绑定也无效。,ollama_cloud id=deepseek-v4-pro:0813 native input not in bulk fixture; models.dev/ id=deepseek-v4-pro:0813 miss,未为本行选择补全来源,{},{},,否,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/gemma4:31b,gemma4:31b,"[""text"",""image""]","[""text""]",262144,未知,未知,未知,262144,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,112,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"ollama_cloud id=gemma4:31b native input not in bulk fixture; models.dev/ id=gemma4:31b hit(context_window,input_modalities,max_output_tokens,output_modalities)",未为本行选择补全来源,{},{},,否,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/glm-5.1,glm-5.1,"[""text"",""image""]",未知,202752,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,113,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=glm-5.1；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=glm-5.1 native input not in bulk fixture; models.dev/ id=glm-5.1 ambiguous:23,"models.dev/ollama-cloud / glm-5.1 => {""context_window"":202752,""input_modalities"":[""text""],""max_output_tokens"":131072,""output_modalities"":[""text""]}","{""max_output_tokens"":131072,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text""],""current"":[""text"",""image""]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/glm-5.2,glm-5.2,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,114,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=glm-5.2；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=glm-5.2 native input not in bulk fixture; models.dev/ id=glm-5.2 ambiguous:34,"models.dev/ollama-cloud / glm-5.2 => {""context_window"":976000,""input_modalities"":[""text""],""max_output_tokens"":131072,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""high""},{""effort"":""max""}]}","{""max_output_tokens"":131072,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":976000,""current"":1048576},""input_modalities"":{""candidate"":[""text""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""high""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/glm-5.3,glm-5.3,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,115,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=glm-5.3；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=glm-5.3 native input not in bulk fixture; models.dev/ id=glm-5.3 ambiguous:21,"models.dev/ollama-cloud / glm-5.3 => {""context_window"":1048576,""input_modalities"":[""text""],""max_output_tokens"":131072,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}]}","{""max_output_tokens"":131072,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/glm-5.3-flash,glm-5.3-flash,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,116,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=glm-5.3-flash；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=glm-5.3-flash native input not in bulk fixture; models.dev/ id=glm-5.3-flash ambiguous:19,"models.dev/ollama-cloud / glm-5.3-flash => {""context_window"":1000000,""input_modalities"":[""text"",""image"",""video"",""pdf""],""max_output_tokens"":131072,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}]}","{""max_output_tokens"":131072,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1000000,""current"":1048576},""input_modalities"":{""candidate"":[""text"",""image"",""video"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/gpt-oss:120b,gpt-oss:120b,"[""text"",""image""]",未知,131072,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,117,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=gpt-oss:120b；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=gpt-oss:120b native input not in bulk fixture; models.dev/ id=gpt-oss:120b ambiguous:2,"models.dev/ollama-cloud / gpt-oss:120b => {""context_window"":131072,""input_modalities"":[""text""],""max_output_tokens"":32768,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]}","{""max_output_tokens"":32768,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/gpt-oss:20b,gpt-oss:20b,"[""text""]","[""text""]",131072,未知,未知,未知,32768,"[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]",medium,118,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"ollama_cloud id=gpt-oss:20b native input not in bulk fixture; models.dev/ id=gpt-oss:20b hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/kimi-k2.6,kimi-k2.6,"[""text"",""image""]",未知,262144,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,119,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=kimi-k2.6；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=kimi-k2.6 native input not in bulk fixture; models.dev/ id=kimi-k2.6 ambiguous:26,"models.dev/ollama-cloud / kimi-k2.6 => {""context_window"":262144,""input_modalities"":[""text"",""image""],""max_output_tokens"":262144,""output_modalities"":[""text""]}","{""max_output_tokens"":262144,""output_modalities"":[""text""]}",{},,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/kimi-k2.7-code,kimi-k2.7-code,"[""text"",""image""]",未知,262144,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,120,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=kimi-k2.7-code；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=kimi-k2.7-code native input not in bulk fixture; models.dev/ id=kimi-k2.7-code ambiguous:22,"models.dev/ollama-cloud / kimi-k2.7-code => {""context_window"":262144,""input_modalities"":[""text"",""image""],""max_output_tokens"":262144,""output_modalities"":[""text""]}","{""max_output_tokens"":262144,""output_modalities"":[""text""]}",{},,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/kimi-k3,kimi-k3,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,121,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=kimi-k3；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=kimi-k3 native input not in bulk fixture; models.dev/ id=kimi-k3 ambiguous:27,"models.dev/ollama-cloud / kimi-k3 => {""context_window"":1048576,""input_modalities"":[""text"",""image""],""max_output_tokens"":131072,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}]}","{""max_output_tokens"":131072,""output_modalities"":[""text""]}","{""reasoning_levels"":{""candidate"":[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/minimax-m2.7,minimax-m2.7,"[""text"",""image""]",未知,196608,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,122,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=minimax-m2.7；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=minimax-m2.7 native input not in bulk fixture; models.dev/ id=minimax-m2.7 ambiguous:16,"models.dev/ollama-cloud / minimax-m2.7 => {""context_window"":196608,""input_modalities"":[""text""],""max_output_tokens"":196608,""output_modalities"":[""text""]}","{""max_output_tokens"":196608,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text""],""current"":[""text"",""image""]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
ollama-cloud/minimax-m3,minimax-m3,"[""text"",""image""]",未知,512000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,123,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/ollama-cloud]=minimax-m3；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,ollama_cloud id=minimax-m3 native input not in bulk fixture; models.dev/ id=minimax-m3 ambiguous:19,"models.dev/ollama-cloud / minimax-m3 => {""context_window"":512000,""input_modalities"":[""text"",""image"",""video""],""max_output_tokens"":131072,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""max""}]}","{""max_output_tokens"":131072,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text"",""image"",""video""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,Ollama原生列表/show输入未采集；这里仅证明bulk候选，不证明最终合并或原生能力。
